estimator,min_score,mean_score,max_score,std_score,learning_rate,max_depth,min_child_weight,n_estimators
RandomForestRegressor,0.7396663649100207,0.7978568298444859,0.8294205839621204,0.03443961469478849,,10,,30
RandomForestRegressor,0.7321767145262649,0.7932283331548466,0.822959101024576,0.03600283077213433,,10,,200
RandomForestRegressor,0.7299012995580162,0.7920326871091006,0.8176981822909402,0.036299567091923925,,10,,500
XGBRegressor,0.610684109979692,0.6906258347345717,0.7402950208097914,0.05034346701838597,0.1,3,5,200
XGBRegressor,0.6004163677907832,0.6870864642896597,0.742955515647598,0.05413018569817797,0.1,3,1,200
XGBRegressor,0.6153744428598925,0.6849987671715786,0.731218233114632,0.04365286567524725,0.1,3,3,200
XGBRegressor,0.5428626664260457,0.6200651002098522,0.665896488807012,0.04909729141359047,0.1,13,1,1000
XGBRegressor,0.5291400065047416,0.613060051020634,0.6542425099996246,0.050648883076258665,0.1,11,1,1000
XGBRegressor,0.5325080576727813,0.6049582584377373,0.6574267441958425,0.04847360710252853,0.1,3,5,500
XGBRegressor,0.5292581848443083,0.6045135769933008,0.6566090868889923,0.04837847035648727,0.1,3,1,500
XGBRegressor,0.5355003459522282,0.6042064856312545,0.6465826767203973,0.04381563114917756,0.1,3,3,500
RandomForestRegressor,0.5231373896951205,0.598421788234071,0.642267126399271,0.04548496423389417,,20,,30
XGBRegressor,0.5217657053463963,0.5984170229968462,0.6567825957362877,0.053076343044940896,0.1,5,5,200
XGBRegressor,0.5206382826983147,0.596952361961387,0.6533525545023559,0.05185733650643524,0.1,5,3,200
RandomForestRegressor,0.5227538102936709,0.5960529868694386,0.6391524587436288,0.044408074150000816,,20,,500
RandomForestRegressor,0.5208800315877194,0.595964608994553,0.6404812237134873,0.04618472359053753,,20,,200
XGBRegressor,0.5229880537934148,0.5953287484856741,0.6334698704997839,0.04420715837870997,0.1,13,3,1000
XGBRegressor,0.522193963410374,0.5941563230529896,0.6337037064032293,0.04560162444084041,0.1,5,1,200
XGBRegressor,0.5185923766106887,0.5922989124105502,0.6452810307299158,0.04852270383556925,0.1,13,1,500
XGBRegressor,0.5007909534859603,0.5873389525168509,0.6375443167454226,0.05245140193250943,0.1,9,1,1000
XGBRegressor,0.5176179218670908,0.5840077248936,0.6396632814694575,0.04624324707365669,0.1,13,5,1000
XGBRegressor,0.5039212312373514,0.5834227284843448,0.6308985118851899,0.050062387650982185,0.1,11,3,1000
XGBRegressor,0.5060763187386775,0.5780760798971922,0.6261667724023365,0.04764869162183493,0.1,3,5,1000
XGBRegressor,0.5087103065915433,0.5750719019314385,0.6180327182016779,0.04344572659067633,0.1,3,3,1000
XGBRegressor,0.49150812217324197,0.573547086497601,0.622968054693828,0.05020505915764786,0.1,11,1,500
XGBRegressor,0.49443654598059616,0.5702701476902161,0.6167654270030352,0.047147007991946606,0.1,3,1,1000
XGBRegressor,0.49927956834887793,0.569055007704381,0.6186635045519248,0.0456178127796574,0.1,11,5,1000
XGBRegressor,0.4931525820235597,0.5641432610616132,0.6016124717609039,0.04417495232294725,0.1,9,3,1000
