estimator,min_score,mean_score,max_score,std_score,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
RandomForestRegressor,0.5922881588397421,0.6479031823634079,0.6927548656992637,0.036211132223250016,600,2,1,auto,150,False
RandomForestRegressor,0.5916961363657086,0.6477896810400358,0.6919573437811346,0.03622324340200968,700,2,1,auto,120,False
RandomForestRegressor,0.5920441501859974,0.6476764724421554,0.6919948973848193,0.03604837657196031,900,2,1,auto,140,False
RandomForestRegressor,0.5921102802279339,0.647656478475144,0.6918327629580874,0.03598444032006524,400,2,1,auto,140,False
RandomForestRegressor,0.5919102852146766,0.6475565818444653,0.6918714661439539,0.03606214163699627,700,2,1,auto,150,False
RandomForestRegressor,0.5920825100616717,0.6475221143363739,0.691622955676792,0.03584013897780186,600,2,1,auto,140,False
RandomForestRegressor,0.6004525187600162,0.63878380485205,0.6757724359106101,0.02690320962591615,900,5,1,auto,110,False
RandomForestRegressor,0.6005890936149881,0.638696258016689,0.6753509126974008,0.026741456856423592,900,5,1,auto,140,False
RandomForestRegressor,0.5930761070361454,0.6133966374976142,0.6599463812366594,0.027493461666581637,600,10,1,auto,140,False
RandomForestRegressor,0.5833243834598217,0.6106078007704866,0.6742708939550771,0.03700598002356389,700,15,1,auto,150,False
RandomForestRegressor,0.5831038558031023,0.610384147566603,0.6740905032882125,0.037024248438124616,900,15,1,auto,120,False
RandomForestRegressor,0.5831266301365086,0.6102585107906318,0.673798803088339,0.03691799961839289,600,15,1,auto,110,False
RandomForestRegressor,0.5034258124731645,0.5470443969717338,0.5776056158100346,0.027498396675257702,400,15,1,sqrt,140,True
RandomForestRegressor,0.5045592431332827,0.5460038311574528,0.5780646182840823,0.02679848279573954,700,15,1,sqrt,120,True
RandomForestRegressor,0.488147446708175,0.53140712254832,0.5625204093806678,0.027988573356776392,600,10,1,sqrt,150,True
RandomForestRegressor,0.48916863822677153,0.5304360297685883,0.5591084243567981,0.026504487052882244,900,10,1,sqrt,140,True
RandomForestRegressor,0.48754570824810856,0.5301815433018356,0.5597043578824449,0.02730163420725566,700,10,1,sqrt,150,True
RandomForestRegressor,0.48896754551391514,0.5298369968677599,0.5601183254479641,0.026657732914539357,400,10,1,sqrt,140,True
RandomForestRegressor,0.48197346233145305,0.520109852830714,0.5484785654667595,0.025882533159010953,600,15,1,sqrt,110,False
RandomForestRegressor,0.4814357222432446,0.5191571655460075,0.5458970552937809,0.02534914207339979,700,15,1,sqrt,120,False
RandomForestRegressor,0.483561769038126,0.5187707255220066,0.5560204296454538,0.025894098391836207,700,15,1,auto,120,True
RandomForestRegressor,0.4807865790033201,0.5186777396977712,0.5459452406645078,0.025525991804029168,700,15,1,sqrt,110,False
RandomForestRegressor,0.48456264797762677,0.5186254343166671,0.5550072970963305,0.025103925571728976,900,15,1,auto,150,True
RandomForestRegressor,0.4801972542011334,0.5185572832393797,0.545550878647296,0.02550183381436709,900,15,1,sqrt,120,False
RandomForestRegressor,0.48158831146917086,0.5183378134487971,0.5445702114871716,0.024793437520621357,700,15,1,sqrt,140,False
RandomForestRegressor,0.4883303982955301,0.5174016626728775,0.5473915414212531,0.022269401311847115,900,5,1,sqrt,110,False
RandomForestRegressor,0.48769235959147444,0.5169955449548606,0.5468592771329599,0.02228031553901382,900,5,1,sqrt,140,False
RandomForestRegressor,0.4778629462781524,0.5153953093325044,0.5400216162456565,0.024656410209723527,700,5,1,sqrt,150,True
RandomForestRegressor,0.47545740370836725,0.5152114054815902,0.5370303827656278,0.02523390236622842,700,5,1,sqrt,140,True
RandomForestRegressor,0.4752474631711597,0.5143301582347761,0.5378295438460753,0.024910509898525387,900,5,1,sqrt,140,True
RandomForestRegressor,0.489725569043188,0.5131121884003024,0.5393199849508151,0.02273373729821393,700,2,1,auto,110,True
RandomForestRegressor,0.4765482163130762,0.5130349651021521,0.5366052923587813,0.024457022527955622,400,10,1,sqrt,110,False
RandomForestRegressor,0.47712017437167265,0.5127161071657417,0.535890297672464,0.024457309808619595,600,10,1,sqrt,150,False
RandomForestRegressor,0.4764318556606226,0.5123500676737849,0.536482553566586,0.02449298985926317,900,10,1,sqrt,120,False
RandomForestRegressor,0.47972604284615367,0.5118217565357229,0.54546386811638,0.023929892346198613,400,10,1,auto,110,True
RandomForestRegressor,0.47356290766835846,0.5112248373222615,0.5471288271839017,0.027395017912498962,900,2,1,sqrt,120,True
RandomForestRegressor,0.47109392892185364,0.5110824356288031,0.5463106834327599,0.028215046381150622,600,2,1,sqrt,120,True
RandomForestRegressor,0.47792033733443573,0.5105984338291794,0.5445257647122983,0.02443746489879133,900,10,1,auto,140,True
RandomForestRegressor,0.4772945359669228,0.5104722367219432,0.5435001871707353,0.024544365856641735,600,10,1,auto,140,True
RandomForestRegressor,0.48222102060954675,0.5081908890030502,0.5319110707266973,0.02242962677691991,700,5,1,auto,150,True
